price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
23.000TL,atasoy emre’ den merkezde ki̇ralik i̇çi̇ yapili dai̇re,110 M2,3+1,5,4.Kat,Kombi Doğalgaz,Boş,115 M2,21 Ve Üzeri,100 TL,Hayır,1,
12.000TL,hüseyin ülker'den 100.yil bulvarinda 2+1 dai̇re,80 M2,2+1,6,1.Kat,Kombi Doğalgaz,Boş,120 M2,21 Ve Üzeri,,Hayır,,
8.300TL,hi̇sar’dan yeni̇ mah de süper konumda 3 +1 ki̇ralik dai̇re,130 M2,3+1,4,4.Kat,Kombi Doğalgaz,,140 M2,5-10,,Hayır,3,
12.500TL,samsun atakum körfezde yerden isitmali cam balkonlu 1+1 ki̇ralik sifir dai̇re,50 M2,1+1,4,2.Kat,Kombi Doğalgaz,Boş,55 M2,1,,Hayır,,
12.000TL,i̇lkadim sai̇tbey mahallesi̇nde ki̇ralik dai̇re,85 M2,2+1,5,1.Kat,Kombi Doğalgaz,,98 M2,21 Ve Üzeri,,Hayır,1,
9.000TL,nş şabandan adli̇ye sarayinin orda geni̇ş ki̇ralik3+1 dai̇re,150 M2,3+1,3,2.Kat,Kombi Doğalgaz,Boş,170 M2,21 Ve Üzeri,,Hayır,,
11.500TL,samsun atakum körfezde yerden isitmali ankastreli̇ cam balkonlu 2+0 ki̇ralik sifir dai̇re,80 M2,2+0,5,Kot 1 (-1).Kat,Yerden Isıtma,Boş,85 M2,1,,Hayır,,
5.000TL,atakum körfez full eşyali 1+1 ki̇ralik dai̇re,55 M2,1+1,4,Bahçe Katı,Kombi Doğalgaz,,60 M2,3,,Hayır,,
16.000TL,atasoy gyo’dan 3+1 masrafsiz full deni̇z manzarali ki̇ralik!!,110 M2,3+1,3,Yüksek Giriş,Sobalı,,120 M2,21 Ve Üzeri,30 TL,Hayır,2,
8.500TL,emlak kent'ten sıfır eşyalı kiralık 1+1 daire,45 M2,1+1,5,4.Kat,Kombi Doğalgaz,Eşyalı,50 M2,0 (Yeni),,Hayır,,
13.000TL,*yayla gyd'den derebahcede kiralik 3+1 sifir daire firsat**,125 M2,3+1,5,4.Kat,Kombi Doğalgaz,Boş,135 M2,0 (Yeni),,Hayır,,
15.500TL,atakum yeni̇mahalle eşyali 1+1 ki̇ralik dai̇re,58 M2,1+1,5,5.Kat,Kombi Doğalgaz,,65 M2,1,,Hayır,,
